"Time","images_score_v2 / compact","images_v6 / compact","manual_image_appraisal_v1 / compact","manual_skeet_appraisal_v1 / compact","validate_v1 / compact","images_score_v2 / optimise","images_v6 / optimise","manual_image_appraisal_v1 / optimise","manual_skeet_appraisal_v1 / optimise","validate_v1 / optimise"
1777744440000,2,70,667,47,117,undefined,undefined,undefined,undefined,undefined
1777744500000,2,70,667,47,117,undefined,undefined,undefined,undefined,undefined
1777744860000,2,70,667,47,117,undefined,undefined,undefined,undefined,undefined
1777744920000,2,70,667,47,117,undefined,undefined,undefined,undefined,undefined
1777744980000,2,70,667,47,117,undefined,undefined,undefined,undefined,undefined
1777745040000,2,70,667,47,117,undefined,undefined,undefined,undefined,undefined
1777745100000,2,70,667,47,117,undefined,undefined,undefined,undefined,undefined
1777745460000,2,70,667,47,117,undefined,undefined,undefined,undefined,undefined
1777745520000,2,70,667,47,117,undefined,undefined,undefined,undefined,undefined
1777745580000,2,70,667,47,117,undefined,undefined,undefined,undefined,undefined
1777745640000,2,70,667,47,117,undefined,undefined,undefined,undefined,undefined
1777745700000,2,70,667,47,117,undefined,undefined,undefined,undefined,undefined
1777746060000,2,70,667,47,117,undefined,undefined,undefined,undefined,undefined
1777746120000,2,70,667,47,117,undefined,undefined,undefined,undefined,undefined
1777746180000,2,70,667,47,117,undefined,undefined,undefined,undefined,undefined
1777746240000,2,70,667,47,117,undefined,undefined,undefined,undefined,undefined
1777746300000,2,70,667,47,117,undefined,undefined,undefined,undefined,undefined
1777746660000,1,69,667,47,117,undefined,undefined,undefined,undefined,undefined
1777746720000,1,69,667,47,117,undefined,undefined,undefined,undefined,undefined
1777746780000,1,69,667,47,117,undefined,undefined,undefined,undefined,undefined
1777746840000,1,69,667,47,117,undefined,undefined,undefined,undefined,undefined
1777746900000,1,69,667,47,117,undefined,undefined,undefined,undefined,undefined
1777747320000,undefined,undefined,undefined,undefined,undefined,2,70,1,1,1
1777747380000,undefined,undefined,undefined,undefined,undefined,2,70,1,1,1
1777747440000,undefined,undefined,undefined,undefined,undefined,2,70,1,1,1
1777747500000,undefined,undefined,undefined,undefined,undefined,2,70,1,1,1
1777747560000,undefined,undefined,undefined,undefined,undefined,2,70,1,1,1
1777747860000,undefined,undefined,undefined,undefined,undefined,2,70,1,1,1
1777747920000,undefined,undefined,undefined,undefined,undefined,2,70,1,1,1
1777747980000,undefined,undefined,undefined,undefined,undefined,2,70,1,1,1
1777748040000,undefined,undefined,undefined,undefined,undefined,2,70,1,1,1
