"Time","images_score_v2 / optimise","images_v6 / optimise","manual_image_appraisal_v1 / optimise","manual_skeet_appraisal_v1 / optimise","validate_v1 / optimise"
2026-05-03 11:53:00,1,69,1,1,1
2026-05-03 11:54:00,1,69,1,1,1
2026-05-03 11:55:00,1,69,1,1,1
2026-05-03 12:01:00,2,70,1,1,1
2026-05-03 12:02:00,2,70,1,1,1
2026-05-03 12:03:00,2,70,1,1,1
2026-05-03 12:04:00,2,70,1,1,1
2026-05-03 12:05:00,2,70,1,1,1
2026-05-03 12:11:00,2,70,1,1,1
2026-05-03 12:12:00,2,70,1,1,1
2026-05-03 12:13:00,2,70,1,1,1
2026-05-03 12:14:00,2,70,1,1,1
2026-05-03 12:15:00,2,70,1,1,1
2026-05-03 12:21:00,2,70,1,1,1
2026-05-03 12:22:00,2,70,1,1,1
2026-05-03 12:23:00,2,70,1,1,1
2026-05-03 12:24:00,2,70,1,1,1
2026-05-03 12:25:00,2,70,1,1,1
2026-05-03 12:31:00,2,70,1,1,1
2026-05-03 12:32:00,2,70,1,1,1
2026-05-03 12:33:00,2,70,1,1,1
2026-05-03 12:34:00,2,70,1,1,1
2026-05-03 12:35:00,2,70,1,1,1
2026-05-03 12:41:00,1,69,1,1,1
2026-05-03 12:42:00,1,69,1,1,1
2026-05-03 12:43:00,1,69,1,1,1
2026-05-03 12:44:00,1,69,1,1,1
2026-05-03 12:45:00,1,69,1,1,1
2026-05-03 12:51:00,1,69,1,1,1
2026-05-03 12:52:00,1,69,1,1,1
2026-05-03 12:53:00,1,69,1,1,1
2026-05-03 12:54:00,1,69,1,1,1
2026-05-03 12:55:00,1,69,1,1,1
2026-05-03 13:01:00,3,70,1,1,1
2026-05-03 13:02:00,3,70,1,1,1
2026-05-03 13:03:00,3,70,1,1,1
2026-05-03 13:04:00,3,70,1,1,1
2026-05-03 13:05:00,3,70,1,1,1
2026-05-03 13:11:00,2,70,1,1,1
2026-05-03 13:12:00,2,70,1,1,1
2026-05-03 13:13:00,2,70,1,1,1
2026-05-03 13:14:00,2,70,1,1,1
2026-05-03 13:15:00,2,70,1,1,1
2026-05-03 13:21:00,2,71,1,1,1
2026-05-03 13:22:00,2,71,1,1,1
2026-05-03 13:23:00,2,71,1,1,1
2026-05-03 13:24:00,2,71,1,1,1
2026-05-03 13:25:00,2,71,1,1,1
2026-05-03 13:31:00,2,70,1,1,1
2026-05-03 13:32:00,2,70,1,1,1
2026-05-03 13:33:00,2,70,1,1,1
2026-05-03 13:34:00,2,70,1,1,1
2026-05-03 13:35:00,2,70,1,1,1
2026-05-03 13:41:00,1,69,1,1,1
2026-05-03 13:42:00,1,69,1,1,1
2026-05-03 13:43:00,1,69,1,1,1
2026-05-03 13:44:00,1,69,1,1,1
2026-05-03 13:45:00,1,69,1,1,1
2026-05-03 13:51:00,1,69,1,1,1
2026-05-03 13:52:00,1,69,1,1,1
2026-05-03 13:53:00,1,69,1,1,1
2026-05-03 13:54:00,1,69,1,1,1
2026-05-03 13:55:00,1,69,1,1,1
2026-05-03 14:01:00,2,70,1,1,1
2026-05-03 14:02:00,2,70,1,1,1
2026-05-03 14:03:00,2,70,1,1,1
2026-05-03 14:04:00,2,70,1,1,1
2026-05-03 14:05:00,2,70,1,1,1
2026-05-03 14:11:00,1,69,1,1,1
2026-05-03 14:12:00,1,69,1,1,1
2026-05-03 14:13:00,1,69,1,1,1
2026-05-03 14:14:00,1,69,1,1,1
2026-05-03 14:15:00,1,69,1,1,1
2026-05-03 14:21:00,3,70,1,1,1
2026-05-03 14:22:00,3,70,1,1,1
2026-05-03 14:23:00,3,70,1,1,1
2026-05-03 14:24:00,3,70,1,1,1
2026-05-03 14:25:00,3,70,1,1,1
2026-05-03 14:31:00,2,70,1,1,1
2026-05-03 14:32:00,2,70,1,1,1
2026-05-03 14:33:00,2,70,1,1,1
2026-05-03 14:34:00,2,70,1,1,1
2026-05-03 14:35:00,2,70,1,1,1
2026-05-03 14:42:00,1,69,1,1,1
2026-05-03 14:43:00,1,69,1,1,1
2026-05-03 14:44:00,1,69,1,1,1
2026-05-03 14:45:00,1,69,1,1,1
2026-05-03 14:46:00,1,69,1,1,1
2026-05-03 14:51:00,2,70,1,1,1
2026-05-03 14:52:00,2,70,1,1,1
2026-05-03 14:53:00,2,70,1,1,1
2026-05-03 14:54:00,2,70,1,1,1
2026-05-03 14:55:00,2,70,1,1,1
2026-05-03 15:02:00,1,69,1,1,1
2026-05-03 15:03:00,1,69,1,1,1
2026-05-03 15:04:00,1,69,1,1,1
2026-05-03 15:05:00,1,69,1,1,1
2026-05-03 15:06:00,1,69,1,1,1
2026-05-03 15:11:00,2,70,1,1,1
2026-05-03 15:12:00,2,70,1,1,1
2026-05-03 15:13:00,2,70,1,1,1
2026-05-03 15:14:00,2,70,1,1,1
2026-05-03 15:15:00,2,70,1,1,1
2026-05-03 15:21:00,2,70,1,1,1
2026-05-03 15:22:00,2,70,1,1,1
2026-05-03 15:23:00,2,70,1,1,1
2026-05-03 15:24:00,2,70,1,1,1
2026-05-03 15:25:00,2,70,1,1,1
2026-05-03 15:32:00,2,70,1,1,1
2026-05-03 15:33:00,2,70,1,1,1
2026-05-03 15:34:00,2,70,1,1,1
2026-05-03 15:35:00,2,70,1,1,1
2026-05-03 15:36:00,2,70,1,1,1
2026-05-03 15:42:00,2,70,1,1,1
2026-05-03 15:43:00,2,70,1,1,1
2026-05-03 15:44:00,2,70,1,1,1
2026-05-03 15:45:00,2,70,1,1,1
2026-05-03 15:46:00,2,70,1,1,1
2026-05-03 15:52:00,2,70,1,1,1
2026-05-03 15:53:00,2,70,1,1,1
2026-05-03 15:54:00,2,70,1,1,1
2026-05-03 15:55:00,2,70,1,1,1
2026-05-03 15:56:00,2,70,1,1,1
2026-05-03 16:02:00,1,69,1,1,1
2026-05-03 16:03:00,1,69,1,1,1
2026-05-03 16:04:00,1,69,1,1,1
2026-05-03 16:05:00,1,69,1,1,1
2026-05-03 16:06:00,1,69,1,1,1
2026-05-03 16:11:00,2,70,1,1,1
2026-05-03 16:12:00,2,70,1,1,1
2026-05-03 16:13:00,2,70,1,1,1
2026-05-03 16:14:00,2,70,1,1,1
2026-05-03 16:15:00,2,70,1,1,1
2026-05-03 16:21:00,2,70,1,1,1
2026-05-03 16:22:00,2,70,1,1,1
2026-05-03 16:23:00,2,70,1,1,1
2026-05-03 16:24:00,2,70,1,1,1
2026-05-03 16:25:00,2,70,1,1,1
2026-05-03 16:31:00,2,70,1,1,1
2026-05-03 16:32:00,2,70,1,1,1
2026-05-03 16:33:00,2,70,1,1,1
2026-05-03 16:34:00,2,70,1,1,1
2026-05-03 16:35:00,2,70,1,1,1
2026-05-03 16:41:00,2,72,1,1,1
2026-05-03 16:42:00,2,72,1,1,1
2026-05-03 16:43:00,2,72,1,1,1
2026-05-03 16:44:00,2,72,1,1,1
2026-05-03 16:45:00,2,72,1,1,1
2026-05-03 16:51:00,2,70,1,1,1
2026-05-03 16:52:00,2,70,1,1,1
2026-05-03 16:53:00,2,70,1,1,1
2026-05-03 16:54:00,2,70,1,1,1
2026-05-03 16:55:00,2,70,1,1,1
2026-05-03 17:01:00,1,69,1,1,1
2026-05-03 17:02:00,1,69,1,1,1
2026-05-03 17:03:00,1,69,1,1,1
2026-05-03 17:04:00,1,69,1,1,1
2026-05-03 17:05:00,1,69,1,1,1
2026-05-03 17:11:00,1,69,1,1,1
2026-05-03 17:12:00,1,69,1,1,1
2026-05-03 17:13:00,1,69,1,1,1
2026-05-03 17:14:00,1,69,1,1,1
2026-05-03 17:15:00,1,69,1,1,1
2026-05-03 17:21:00,2,71,1,1,1
2026-05-03 17:22:00,2,71,1,1,1
2026-05-03 17:23:00,2,71,1,1,1
2026-05-03 17:24:00,2,71,1,1,1
2026-05-03 17:25:00,2,71,1,1,1
2026-05-03 17:32:00,2,70,1,1,1
2026-05-03 17:33:00,2,70,1,1,1
2026-05-03 17:34:00,2,70,1,1,1
2026-05-03 17:35:00,2,70,1,1,1
2026-05-03 17:36:00,2,70,1,1,1
2026-05-03 17:41:00,2,70,1,1,1
2026-05-03 17:42:00,2,70,1,1,1
2026-05-03 17:43:00,2,70,1,1,1
2026-05-03 17:44:00,2,70,1,1,1
2026-05-03 17:45:00,2,70,1,1,1
2026-05-03 17:52:00,1,69,1,1,1
2026-05-03 17:53:00,1,69,1,1,1
2026-05-03 17:54:00,1,69,1,1,1
2026-05-03 17:55:00,1,69,1,1,1
2026-05-03 17:56:00,1,69,1,1,1
2026-05-03 18:01:00,2,70,2,2,1
2026-05-03 18:02:00,2,70,2,2,1
2026-05-03 18:03:00,2,70,2,2,1
2026-05-03 18:04:00,2,70,2,2,1
2026-05-03 18:05:00,2,70,2,2,1
2026-05-03 18:12:00,2,70,1,1,1
2026-05-03 18:13:00,2,70,1,1,1
2026-05-03 18:14:00,2,70,1,1,1
2026-05-03 18:15:00,2,70,1,1,1
2026-05-03 18:16:00,2,70,1,1,1
2026-05-03 18:22:00,2,71,1,1,1
2026-05-03 18:23:00,2,71,1,1,1
2026-05-03 18:24:00,2,71,1,1,1
2026-05-03 18:25:00,2,71,1,1,1
2026-05-03 18:26:00,2,71,1,1,1
2026-05-03 18:33:00,2,70,1,1,1
2026-05-03 18:34:00,2,70,1,1,1
2026-05-03 18:35:00,2,70,1,1,1
2026-05-03 18:36:00,2,70,1,1,1
2026-05-03 18:37:00,2,70,1,1,1
2026-05-03 18:42:00,2,70,1,1,1
2026-05-03 18:43:00,2,70,1,1,1
2026-05-03 18:44:00,2,70,1,1,1
2026-05-03 18:45:00,2,70,1,1,1
2026-05-03 18:46:00,2,70,1,1,1
2026-05-03 18:52:00,2,70,1,1,1
2026-05-03 18:53:00,2,70,1,1,1
2026-05-03 18:54:00,2,70,1,1,1
2026-05-03 18:55:00,2,70,1,1,1
2026-05-03 18:56:00,2,70,1,1,1
2026-05-03 19:02:00,2,70,1,1,1
2026-05-03 19:03:00,2,70,1,1,1
2026-05-03 19:04:00,2,70,1,1,1
2026-05-03 19:05:00,2,70,1,1,1
2026-05-03 19:06:00,2,70,1,1,1
2026-05-03 19:12:00,2,70,1,1,1
2026-05-03 19:13:00,2,70,1,1,1
2026-05-03 19:14:00,2,70,1,1,1
2026-05-03 19:15:00,2,70,1,1,1
2026-05-03 19:16:00,2,70,1,1,1
2026-05-03 19:22:00,2,70,1,1,1
2026-05-03 19:23:00,2,70,1,1,1
2026-05-03 19:24:00,2,70,1,1,1
2026-05-03 19:25:00,2,70,1,1,1
2026-05-03 19:26:00,2,70,1,1,1
2026-05-03 19:31:00,2,70,1,1,1
2026-05-03 19:32:00,2,70,1,1,1
2026-05-03 19:33:00,2,70,1,1,1
2026-05-03 19:34:00,2,70,1,1,1
2026-05-03 19:35:00,2,70,1,1,1
2026-05-03 19:41:00,1,69,1,1,1
2026-05-03 19:42:00,1,69,1,1,1
2026-05-03 19:43:00,1,69,1,1,1
2026-05-03 19:44:00,1,69,1,1,1
2026-05-03 19:45:00,1,69,1,1,1
2026-05-03 19:51:00,2,70,1,1,1
2026-05-03 19:52:00,2,70,1,1,1
2026-05-03 19:53:00,2,70,1,1,1
2026-05-03 19:54:00,2,70,1,1,1
