"Time","CompleteMultipartUpload","CreateMultipartUpload","DeleteObjects","GetBucketSippyConfiguration","GetObject","HeadBucket","HeadObject","ListMultipartUploads","ListObjects","PutObject","UploadPart"
1777808820000,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,0,undefined,undefined
1777808880000,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,0,undefined,undefined
1777808940000,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,0,undefined,undefined
1777809000000,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,12.799999999999997,undefined,undefined
1777809060000,undefined,undefined,undefined,undefined,72.00000000000001,undefined,undefined,undefined,38.64999999999999,undefined,18.9
1777809120000,undefined,undefined,undefined,undefined,74.55,undefined,undefined,undefined,40.574999999999996,undefined,21
1777809180000,undefined,undefined,undefined,undefined,76.33333333333333,undefined,undefined,undefined,35.66666666666666,0.5,23.1
1777809240000,undefined,undefined,undefined,undefined,38.666666666666664,undefined,undefined,undefined,6.999999999999999,1.9999999999999996,undefined
1777809300000,undefined,undefined,undefined,undefined,22,undefined,undefined,undefined,4.666666666666666,2.55,undefined
1777809360000,undefined,undefined,undefined,undefined,20.000000000000004,undefined,undefined,undefined,4.333333333333333,2.75,undefined
1777809420000,undefined,undefined,undefined,undefined,1.65,undefined,undefined,undefined,1.6666666666666665,1.65,undefined
1777809480000,undefined,undefined,undefined,undefined,1.6666666666666665,undefined,undefined,undefined,4.333333333333333,0.3333333333333333,undefined
1777809540000,undefined,undefined,undefined,undefined,19.450000000000003,undefined,undefined,undefined,4.333333333333333,1.875,undefined
1777809600000,undefined,undefined,undefined,undefined,53.86249999999999,undefined,undefined,undefined,15.275,2.8375000000000004,undefined
1777809660000,undefined,undefined,undefined,undefined,63.675000000000004,undefined,undefined,undefined,43.949999999999996,3.5499999999999994,undefined
1777809720000,undefined,undefined,undefined,undefined,57.666666666666664,undefined,undefined,undefined,45.47500000000001,2.8000000000000003,undefined
1777809780000,undefined,undefined,undefined,undefined,18.400000000000002,undefined,undefined,undefined,38.666666666666664,1.65,undefined
1777809840000,undefined,undefined,undefined,undefined,1.1,undefined,undefined,undefined,3.666666666666666,undefined,undefined
1777809900000,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,1.6666666666666665,undefined,undefined
1777809960000,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,0,undefined,undefined
1777810020000,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,0,undefined,undefined
1777810080000,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,0,undefined,undefined
1777810140000,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,0,undefined,undefined
1777810200000,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,18.025,undefined,undefined
1777810260000,undefined,undefined,undefined,undefined,136.35,undefined,undefined,undefined,39.75,16.675,19.8
1777810320000,undefined,undefined,undefined,undefined,135.45,undefined,undefined,undefined,43.324999999999996,15.7,22
1777810380000,undefined,undefined,undefined,undefined,154.8,undefined,undefined,undefined,32.33333333333333,16.999999999999996,24.2
1777810440000,undefined,undefined,undefined,undefined,46.2,undefined,undefined,undefined,6.333333333333332,1.65,undefined
1777810500000,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,3.666666666666666,undefined,undefined
1777810560000,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,1.9999999999999996,undefined,undefined
1777810620000,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,1.6666666666666665,undefined,undefined
1777810680000,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,0,undefined,undefined
1777810740000,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,0,undefined,undefined
1777810800000,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,15.825,undefined,undefined
1777810860000,undefined,undefined,undefined,undefined,110.70000000000002,undefined,undefined,undefined,30.674999999999997,undefined,15.3
1777810920000,undefined,undefined,undefined,undefined,107.57680773546281,undefined,undefined,undefined,38.07306411992314,undefined,17
1777810980000,undefined,undefined,undefined,undefined,137.33333333333331,undefined,undefined,undefined,40.09978564030926,1.5,18.7
1777811040000,3.2432432432432434,undefined,12.20608108108108,undefined,2368.15625,undefined,36.61824324324324,undefined,800.8075278880935,171.96621621621622,209.51013513513513
1777811100000,undefined,undefined,undefined,undefined,2344,undefined,undefined,undefined,848.225,182.62499999999997,undefined
1777811160000,undefined,undefined,undefined,0.39473684210526316,2981.375,0.39473684210526316,undefined,0.39473684210526316,843.775,182.62499999999997,undefined
1777811220000,undefined,undefined,undefined,0.39473684210526316,13.658763033852305,0.39473684210526316,undefined,0.39473684210526316,8.302385373518069,2.4103699471504068,undefined
1777811280000,undefined,undefined,undefined,undefined,30.471447463332527,undefined,undefined,undefined,15,3.592910956159333,undefined
1777811340000,undefined,undefined,undefined,undefined,44.940795296497654,undefined,undefined,undefined,20.475,3.333333333333333,undefined
1777811400000,undefined,undefined,undefined,undefined,67.3136418217686,undefined,undefined,undefined,30.686422506218378,3.216399348143065,undefined
1777811460000,undefined,undefined,undefined,undefined,162.75,undefined,undefined,undefined,53.30000000000001,12.250000000000002,21.425
1777811520000,undefined,undefined,undefined,undefined,176.625,undefined,undefined,undefined,49.550000000000004,16.250000000000004,23.875
1777811580000,undefined,undefined,undefined,undefined,182.8,undefined,undefined,undefined,41.33333333333333,16.250000000000004,23.875
1777811640000,undefined,undefined,undefined,undefined,30.799999999999997,undefined,undefined,undefined,5,undefined,undefined
1777811700000,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,1.6666666666666665,undefined,undefined
1777811760000,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,1.6666666666666665,undefined,undefined
1777811820000,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,0,undefined,undefined
1777811880000,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,0,undefined,undefined
1777811940000,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,0,undefined,undefined
1777812000000,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,17.199999999999996,undefined,undefined
1777812060000,undefined,undefined,undefined,undefined,121.05000000000001,undefined,undefined,undefined,35.349999999999994,undefined,14.850000000000001
1777812120000,undefined,undefined,undefined,undefined,112.69999999999999,undefined,undefined,undefined,37.275000000000006,undefined,16.5
1777812180000,undefined,undefined,undefined,undefined,128.8,undefined,undefined,undefined,25.999999999999996,undefined,18.15
1777812240000,undefined,undefined,undefined,undefined,29.15,undefined,undefined,undefined,3.999999999999999,undefined,undefined
1777812300000,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,1.6666666666666665,undefined,undefined
1777812360000,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,0,undefined,undefined
1777812420000,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,0,undefined,undefined
1777812480000,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,0,undefined,undefined
1777812540000,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,0,undefined,undefined
1777812600000,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,17.199999999999996,undefined,undefined
