"Time","R2 ops / scored image"
1777624920000,Infinity
1777624980000,112.99999999999999
1777625040000,112.99999999999999
1777625100000,112.99999999999999
1777625160000,Infinity
1777625220000,32383
1777625280000,32383
1777625340000,2311
1777625400000,Infinity
1777625460000,Infinity
1777625520000,Infinity
1777625580000,Infinity
1777625640000,129
1777625700000,129
1777625760000,74.99999999999999
1777625820000,Infinity
1777625880000,Infinity
1777625940000,Infinity
1777626000000,83
1777626060000,83
1777626120000,83
1777626180000,Infinity
1777626240000,Infinity
1777626300000,Infinity
1777626360000,Infinity
1777626420000,Infinity
1777626480000,Infinity
1777626540000,Infinity
1777626600000,Infinity
1777626660000,Infinity
1777626720000,92
1777626780000,92
1777626840000,93.5
1777626900000,148
1777626960000,123.5
1777627020000,152
1777627080000,113.99999999999999
1777627140000,Infinity
1777627200000,Infinity
1777627260000,Infinity
1777627320000,Infinity
1777627380000,Infinity
1777627440000,131
1777627500000,131
1777627560000,111.00000000000001
1777627620000,Infinity
1777627680000,Infinity
1777627740000,Infinity
1777627800000,Infinity
1777627860000,Infinity
1777627920000,Infinity
1777627980000,Infinity
1777628040000,Infinity
1777628100000,Infinity
1777628160000,Infinity
1777628220000,Infinity
1777628280000,Infinity
1777628340000,Infinity
1777628400000,74
1777628460000,74.00041111111109
1777628520000,74.5
1777628580000,143.99999999999997
1777628640000,143.99999999999997
1777628700000,Infinity
1777628760000,Infinity
1777628820000,Infinity
1777628880000,Infinity
1777628940000,Infinity
1777629000000,Infinity
1777629060000,Infinity
1777629120000,75
1777629180000,128
1777629240000,128
1777629300000,Infinity
1777629360000,Infinity
1777629420000,Infinity
1777629480000,Infinity
1777629540000,Infinity
1777629600000,Infinity
1777629660000,Infinity
1777629720000,Infinity
1777629780000,Infinity
1777629840000,Infinity
1777629900000,Infinity
1777629960000,Infinity
1777630020000,Infinity
1777630080000,Infinity
1777630140000,Infinity
1777630200000,Infinity
1777630260000,Infinity
1777630320000,Infinity
1777630380000,Infinity
1777630440000,Infinity
1777630500000,Infinity
