"Time","get_range / B","put / A"
1777385280000,NaN,NaN
1777385340000,7653,567
1777385400000,7653,567
1777385460000,7652.957483569537,566.9968500174999
1777385520000,8705,NaN
1777385580000,5090.5,NaN
1777385640000,5090.528280555555,NaN
1777385700000,1476,NaN
1777385760000,NaN,NaN
1777385820000,NaN,NaN
1777385880000,NaN,NaN
1777385940000,NaN,NaN
1777386000000,NaN,NaN
1777386060000,7754,601.6
1777386120000,7754,601.6
1777386180000,5978.666666666667,601.6
1777386240000,5091,NaN
1777386300000,5091,NaN
1777386360000,NaN,NaN
1777386420000,NaN,NaN
1777386480000,NaN,NaN
1777386540000,NaN,NaN
1777386600000,NaN,NaN
1777386660000,NaN,NaN
1777386720000,NaN,NaN
1777386780000,4993.5,NaN
1777386840000,4993.5,NaN
1777386900000,4993.5,NaN
1777386960000,NaN,NaN
1777387020000,NaN,NaN
1777387080000,NaN,NaN
1777387140000,NaN,NaN
1777387200000,NaN,NaN
1777387260000,NaN,NaN
1777387320000,5045.5,567
1777387380000,5045.5,567
1777387440000,5045.5,567
1777387500000,7752.999999999999,600
1777387560000,7753,600
1777387620000,7753,600
1777387680000,NaN,NaN
1777387740000,7850,632.6000000000001
1777387800000,7850,632.6000000000001
1777387860000,7850,632.6
1777387920000,NaN,NaN
1777387980000,8399,NaN
1777388040000,8399,NaN
1777388100000,8399,NaN
1777388160000,4857,NaN
1777388220000,4857,NaN
1777388280000,3729.9792778929004,NaN
1777388340000,4615.5,601.6
1777388400000,4615.5,601.6
1777388460000,7755.043083333333,601.6033422222222
1777388520000,NaN,NaN
1777388580000,5091,NaN
1777388640000,5091,NaN
1777388700000,5091,NaN
1777388760000,NaN,NaN
1777388820000,NaN,NaN
1777388880000,NaN,NaN
1777388940000,NaN,NaN
1777389000000,NaN,NaN
1777389060000,NaN,NaN
1777389120000,NaN,NaN
1777389180000,4993.5,NaN
1777389240000,4993.5,NaN
1777389300000,4993.5,NaN
1777389360000,NaN,NaN
1777389420000,NaN,NaN
1777389480000,NaN,NaN
1777389540000,NaN,NaN
1777389600000,NaN,NaN
1777389660000,7656,567
1777389720000,6424,584.2
1777389780000,6424.035688888889,584.2032455555556
1777389840000,6013.333333333333,601.4
1777389900000,NaN,NaN
1777389960000,NaN,NaN
1777390020000,NaN,NaN
1777390080000,NaN,NaN
1777390140000,NaN,NaN
1777390200000,NaN,NaN
1777390260000,NaN,NaN
1777390320000,NaN,NaN
1777390380000,4564.5,NaN
1777390440000,4564.525358333333,NaN
1777390500000,1055.908353699178,601.6
1777390560000,1058.6161498277204,601.6
1777390620000,1058.6161498277204,617.9
1777390680000,1062.1059595285747,634.2
1777390740000,NaN,634.2
1777390800000,NaN,NaN
1777390860000,NaN,NaN
1777390920000,7856,NaN
1777390980000,7856,NaN
1777391040000,6012.666666666666,NaN
1777391100000,5091,NaN
1777391160000,5091,NaN
1777391220000,7754.956916906018,601.5966577963457
1777391280000,7755,601.6
1777391340000,7755,601.6
1777391400000,NaN,NaN
1777391460000,NaN,NaN
1777391520000,NaN,NaN
1777391580000,5024.5,NaN
1777391640000,5024.5,NaN
1777391700000,3842,NaN
1777391760000,1477,NaN
1777391820000,1477,NaN
1777391880000,7754,601.4
1777391940000,7754,601.4
1777392000000,7754,601.4
1777392060000,NaN,NaN
1777392120000,NaN,NaN
1777392180000,5077.5,NaN
1777392240000,5077.5,NaN
1777392300000,3877.333333333333,NaN
1777392360000,4665.5,601.6
1777392420000,4665.5,601.6
1777392480000,7854,601.6
1777392540000,7950,634.2
1777392600000,7950,634.2
1777392660000,7950,634.2
1777392720000,4966.5,NaN
1777392780000,4966.5,NaN
1777392840000,3803,NaN
1777392900000,1476,NaN
1777392960000,1476,NaN
1777393020000,7954,NaN
1777393080000,7954,NaN
1777393140000,7953.999999999999,601.4
1777393200000,NaN,601.4
1777393260000,NaN,601.4
1777393320000,NaN,NaN
1777393380000,5199.5,NaN
1777393440000,6118.000000000001,NaN
1777393500000,6117.999999999999,NaN
1777393560000,8004,618
1777393620000,8052.999999999999,618
1777393680000,8052.999999999999,618
1777393740000,NaN,NaN
1777393800000,NaN,NaN
1777393860000,NaN,NaN
1777393920000,8597,NaN
1777393980000,8596.952239154229,NaN
1777394040000,8597,NaN
1777394100000,3250.75,NaN
1777394160000,4191.823287777778,601.20334
1777394220000,4191.8,601.2
1777394280000,7956,601.2
1777394340000,NaN,NaN
1777394400000,8052,634.4
1777394460000,8052,634.4
1777394520000,8323.5,634.4
1777394580000,8595,NaN
1777394640000,8595,NaN
1777394700000,5257.500000000001,NaN
1777394760000,5257.500000000001,NaN
1777394820000,5257.500000000001,NaN
1777394880000,1477,NaN
1777394940000,1477,NaN
1777395000000,1476.9917944900308,NaN
1777395060000,NaN,NaN
1777395120000,6024.333333333333,567.2
1777395180000,6024.366801851851,567.2031511111111
1777395240000,6024.333333333334,567.2
1777395300000,4761.5,578.7142857142857
1777395360000,5890.666666666666,601.1666666666667
1777395420000,5890.666666666667,601.1666666666666
1777395480000,8149,632.6
1777395540000,NaN,NaN
1777395600000,NaN,NaN
1777395660000,NaN,NaN
1777395720000,8808.5,NaN
1777395780000,6364.666666666667,NaN
1777395840000,6364.666666666666,NaN
1777395900000,1477,NaN
1777395960000,NaN,NaN
1777396020000,NaN,NaN
1777396080000,NaN,NaN
1777396140000,NaN,NaN
1777396200000,NaN,NaN
1777396260000,NaN,NaN
1777396320000,8512.5,NaN
1777396380000,5957.300237404768,NaN
1777396440000,5957.333333333334,NaN
1777396500000,1117,NaN
1777396560000,1387.0077055555555,NaN
1777396620000,1387,NaN
1777396680000,7854.999999999999,567.2
1777396740000,7854.999999999999,567.2
1777396800000,1044.8771755345601,546.1428571428572
1777396860000,1059.7987001881306,600
1777396920000,1060.2392977255886,600
1777396980000,1095.386384376711,671
1777397040000,3775.3333333333335,NaN
1777397100000,1477,NaN
1777397160000,NaN,NaN
1777397220000,NaN,NaN
1777397280000,NaN,NaN
1777397340000,NaN,NaN
1777397400000,NaN,NaN
1777397460000,NaN,NaN
1777397520000,7988.499999999999,NaN
1777397580000,7988.499999999999,NaN
1777397640000,6514.25,NaN
1777397700000,3822.333333333333,NaN
1777397760000,3822.333333333333,NaN
1777397820000,1387,NaN
1777397880000,NaN,undefined
