"Time","get_range / B","get / B","head / B","list / A","put / A"
2026-04-28 14:08:00,0,0,0,20.0,0
2026-04-28 14:09:00,1.33,336,0,42.7,6.67
2026-04-28 14:10:00,1.33,336,0,42.7,6.67
2026-04-28 14:11:00,1.33,336,0,42.7,6.67
2026-04-28 14:12:00,1.33,261,0,25.3,0
2026-04-28 14:13:00,2.67,261,0,25.3,0
2026-04-28 14:14:00,2.67,261,0,25.3,0
2026-04-28 14:15:00,1.33,0,0,20,0
2026-04-28 14:16:00,0,0,0,20,0
2026-04-28 14:17:00,0,0,0,20,0
2026-04-28 14:18:00,0,0,0,20,0
2026-04-28 14:19:00,0,0,0,20.0,0
2026-04-28 14:20:00,0,0,0,20.0,0
2026-04-28 14:21:00,1.33,341,0,42.7,6.67
2026-04-28 14:22:00,1.33,341,0,42.7,6.67
2026-04-28 14:23:00,4.00,647,0,48.0,6.67
2026-04-28 14:24:00,2.67,305,0,25.3,0
2026-04-28 14:25:00,2.67,305,0,25.3,0
2026-04-28 14:26:00,0,0,0,20.0,0
2026-04-28 14:27:00,0,0,0,20.0,0
2026-04-28 14:28:00,0,0,0,20.0,0
2026-04-28 14:29:00,0,0,0,20.0,0
2026-04-28 14:30:00,0,0,0,20.0,0
2026-04-28 14:31:00,0,0,0,20,0
2026-04-28 14:32:00,0,0,0,20,0
2026-04-28 14:33:00,2.67,300,0,25.3,0
2026-04-28 14:34:00,2.67,300,0,25.3,0
2026-04-28 14:35:00,2.67,300,0,25.3,0
2026-04-28 14:36:00,0,0,0,20.0,0
2026-04-28 14:37:00,0,0,0,20.0,0
2026-04-28 14:38:00,0,0,0,20.0,0
2026-04-28 14:39:00,0,0,0,20.0,0
2026-04-28 14:40:00,0,0,0,20.0,0
2026-04-28 14:41:00,0,0,0,20.0,0
2026-04-28 14:42:00,2.67,336,0,42.7,6.67
2026-04-28 14:43:00,2.67,336,0,42.7,6.67
2026-04-28 14:44:00,2.67,336,0,42.7,6.67
2026-04-28 14:45:00,1.33,299,0,42.7,6.67
2026-04-28 14:46:00,1.33,299,0,42.7,6.67
2026-04-28 14:47:00,1.33,299,0,42.7,6.67
2026-04-28 14:48:00,0,0,0,20.0,0
2026-04-28 14:49:00,1.33,324,0,42.7,6.67
2026-04-28 14:50:00,1.33,324,0,42.7,6.67
2026-04-28 14:51:00,1.33,324,0,42.7,6.67
2026-04-28 14:52:00,0,0,0,20.0,0
2026-04-28 14:53:00,1.33,267,0,25.3,0
2026-04-28 14:54:00,1.33,267,0,25.3,0
2026-04-28 14:55:00,1.33,267,0,25.3,0
2026-04-28 14:56:00,2.67,265,0,25.3,0
2026-04-28 14:57:00,2.67,265,0,25.3,0
2026-04-28 14:58:00,4,265,0,25.3,0
