"Time","images_score_v2.lance / _indices / get","images_v6.lance / _indices / get","manual_image_appraisal_v1.lance / _indices / get","manual_skeet_appraisal_v1.lance / _indices / get","images_score_v2.lance / _indices / list","images_score_v2.lance / _transactions / list","images_score_v2.lance / _transactions / put","images_score_v2.lance / _versions / get_range","images_v6.lance / _versions / get_range","images_score_v2.lance / _versions / get","images_v6.lance / _versions / get","manual_image_appraisal_v1.lance / _versions / get","manual_skeet_appraisal_v1.lance / _versions / get","validate_v1.lance / _versions / get","images_score_v2.lance / _versions / head","images_score_v2.lance / _versions / list","images_v6.lance / _versions / list","manual_image_appraisal_v1.lance / _versions / list","manual_skeet_appraisal_v1.lance / _versions / list","validate_v1.lance / _versions / list","images_score_v2.lance / _versions / put","images_score_v2.lance / data / get","images_v6.lance / data / get","images_score_v2.lance / data / list","images_score_v2.lance / data / put","images_score_v2.lance / other / list","images_score_v2.lance /  / get_range","images_v6.lance /  / get_range","images_score_v2.lance /  / get","images_v6.lance /  / get","manual_image_appraisal_v1.lance /  / get","manual_skeet_appraisal_v1.lance /  / get","validate_v1.lance /  / get","images_score_v2.lance /  / head","images_score_v2.lance /  / list","images_v6.lance /  / list","manual_image_appraisal_v1.lance /  / list","manual_skeet_appraisal_v1.lance /  / list","validate_v1.lance /  / list","images_score_v2.lance /  / put"
1777512900000,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,1.3333185186831258,0,0,0,0,0,0,0,3.999955556049377,3.999955556049377,3.999955556049377,3.999955556049377,3.999955556049377,0
1777512960000,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,0,0,0,0,0,0,0,0,3.088040199330011,3.088040199330011,3.088040199330011,3.088040199330011,3.088040199330011,0
1777513020000,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,0,0,0,0,0,0,0,0,2.0880303989867004,2.0880303989867004,2.0880303989867004,2.0880303989867004,2.0880303989867004,0
1777513080000,9.999266666666667,9.999266666666667,0,0,undefined,undefined,undefined,undefined,undefined,0,2.499816666666667,0,0,0,undefined,24.99816666666667,14.9989,4.999633333333334,4.999633333333334,4.999633333333334,undefined,7.49945,542.4602166666667,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
1777513140000,8,7.999633333333334,0,0,undefined,undefined,0,undefined,0,0,2,0,0,0,undefined,22,14,6,6,6,0,6,434,undefined,0,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
1777513200000,10.666666666666666,10.666666666666666,0,0,undefined,undefined,4,undefined,2,0,2.6666666666666665,0,0,0,undefined,28,17.333333333333332,6.666666666666666,6.666666666666666,6.666666666666666,4,10.666666666666666,336,undefined,2,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
1777513260000,5.333303703868312,5.333303703868312,0,0,undefined,undefined,2.666651851934156,undefined,1.333325925967078,0,1.333325925967078,0,0,0,undefined,15.999911111604936,10.666607407736624,5.333303703868312,5.333303703868312,5.333303703868312,2.666651851934156,6.6666296298353895,46.66640740884773,undefined,1.333325925967078,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
1777513320000,10.666607407736624,10.666607407736624,0,0,undefined,undefined,5.333303703868312,undefined,2.666651851934156,0,2.666651851934156,0,0,0,undefined,27.99984444530864,17.333237037572015,6.6666296298353895,6.6666296298353895,6.6666296298353895,5.333303703868312,15.999911111604936,115.99935555913578,undefined,2.666651851934156,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
1777513380000,57.33301481658435,17.333237037572015,0,0,undefined,undefined,5.333303703868312,undefined,5.333303703868312,1.333325925967078,3.999977777901234,0,0,0,undefined,27.99984444530864,17.333237037572015,6.6666296298353895,6.6666296298353895,6.6666296298353895,5.333303703868312,14.666585185637858,118.66600741106994,undefined,2.666651851934156,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
1777513440000,62.666666666666664,22.666666666666664,0,0,undefined,undefined,8,0,5.333333333333333,1.3333333333333333,4,0,0,0,undefined,40,24,8,8,8,8,21.333333333333332,164,undefined,4,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
1777513500000,62.666666666666664,22.666666666666664,0,0,undefined,undefined,8,22893.9737,5.333333333333333,20351.982399999997,4,0,0,0,undefined,40,22.666666666666664,6.666666666666666,6.666666666666666,6.666666666666666,8,21.333333333333332,164,undefined,4,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
